Tick,NPV
1,126443
2,127617.4954
3,128715.8946
4,129750.9095
5,130732.432
6,131487.5812
7,132201.7351
8,132880.1479
9,133527.1584
10,134146.3876
11,134740.8868
12,135313.2493
13,135865.696
14,136400.1426
15,136918.2523
16,137421.4773
17,137911.0928
18,138388.2241
19,138853.8686
20,139308.9145
21,139754.1559
22,140190.3054
23,140618.0041
24,141037.8321
25,141450.3143
26,141855.928
27,142255.1084
28,142648.2528
29,143035.7256
30,143417.8607
31,143794.966
32,144167.3245
33,144535.1988
34,144898.8311
35,145258.4461
36,145614.2528
37,145966.4454
38,146315.2053
39,146660.701
40,147003.0911
41,147308.5798
42,147611.4787
43,147911.9063
44,148209.9739
45,148309.5719
46,148424.4706
47,148536.942
48,148647.0796
49,148754.972
50,148860.7021
51,148964.3498
52,149065.9896
53,149165.6926
54,149263.5263
55,149359.555
56,149453.8396
57,149546.4378
58,149637.4052
59,149726.7946
60,149814.6555
61,149901.0364
62,149985.983
63,150069.5386
64,150151.7452
65,150232.6432
66,150312.2704
67,150390.6636
68,150467.858
69,150543.8872
70,150618.7837
71,150692.5787
72,150765.3015
73,150836.981
74,150907.6452
75,150941.1591
76,150973.6908
77,151005.2658
78,151035.9078
79,151083.7324
80,151130.6768
81,151176.7622
82,151249.1666
83,151275.4907
84,151301.0094
85,151331.1766
86,151355.1412
87,151378.3551
88,151406.272
89,151428.0356
90,151449.0979
91,151469.4739
92,151489.1791
93,151508.2276
94,151526.6338
95,151544.5922
96,151561.7537
97,151579.763
98,151597.7263
99,151615.922
100,151624
