Profile,ProfileLabel,Year,Annual spend,Envelope,Closing net,NPV (m)
1,Profile 1 – dartboard delivery,2025,250965447.60000002,2500000000.0,2249034552.4,57631.0
1,Profile 1 – dartboard delivery,2026,1321914576.3264,2500000000.0,3427119976.0736,57631.0
1,Profile 1 – dartboard delivery,2027,2454683827.68,2500000000.0,3472436148.3936,57631.0
1,Profile 1 – dartboard delivery,2028,2901678887.949,2500000000.0,3070757260.4446,57631.0
1,Profile 1 – dartboard delivery,2029,3250395328.87,2500000000.0,2320361931.5746,57631.0
1,Profile 1 – dartboard delivery,2030,2877246185.0741,2500000000.0,1943115746.5005002,57631.0
1,Profile 1 – dartboard delivery,2031,3378992501.4000006,2500000000.0,1064123245.1004996,57631.0
1,Profile 1 – dartboard delivery,2032,2890352226.7200003,2500000000.0,673771018.3804994,57631.0
1,Profile 1 – dartboard delivery,2033,2609737691.67,2500000000.0,564033326.7104993,57631.0
1,Profile 1 – dartboard delivery,2034,2636287803.5200005,2500000000.0,427745523.1904988,57631.0
1,Profile 1 – dartboard delivery,2035,2581725112.05,2500000000.0,346020411.14049864,57631.0
1,Profile 1 – dartboard delivery,2036,3249607772.9700003,2500000000.0,-403587361.8295016,57631.0
1,Profile 1 – dartboard delivery,2037,2492467370.7181,2500000000.0,-396054732.5476017,57631.0
1,Profile 1 – dartboard delivery,2038,2439224635.1422,2500000000.0,-335279367.6898017,57631.0
1,Profile 1 – dartboard delivery,2039,2434918210.791,2500000000.0,-270197578.4808016,57631.0
1,Profile 1 – dartboard delivery,2040,2353641813.48,2500000000.0,-123839391.9608016,57631.0
1,Profile 1 – dartboard delivery,2041,2122510447.5000002,2500000000.0,253650160.53919816,57631.0
1,Profile 1 – dartboard delivery,2042,2425246738.56,2500000000.0,328403421.9791982,57631.0
1,Profile 1 – dartboard delivery,2043,2069376124.95,2500000000.0,759027297.0291982,57631.0
1,Profile 1 – dartboard delivery,2044,1533459180.871754,2500000000.0,1725568116.1574442,57631.0
1,Profile 1 – dartboard delivery,2045,3483762321.371754,2500000000.0,741805794.7856901,57631.0
1,Profile 1 – dartboard delivery,2046,2988290875.5200005,2500000000.0,253514919.2656896,57631.0
1,Profile 1 – dartboard delivery,2047,2628146815.9947,2500000000.0,125368103.27098966,57631.0
1,Profile 1 – dartboard delivery,2048,2554989724.5484,2500000000.0,70378378.72258973,57631.0
1,Profile 1 – dartboard delivery,2049,2347201181.5916,2500000000.0,223177197.1309898,57631.0
1,Profile 1 – dartboard delivery,2050,2261618881.0635,2500000000.0,461558316.06748986,57631.0
1,Profile 1 – dartboard delivery,2051,2209765048.5264,2500000000.0,751793267.5410898,57631.0
1,Profile 1 – dartboard delivery,2052,2286102593.4917,2500000000.0,965690674.0493896,57631.0
1,Profile 1 – dartboard delivery,2053,2883548910.249507,2500000000.0,582141763.7998827,57631.0
1,Profile 1 – dartboard delivery,2054,2633153044.0,2500000000.0,448988719.79988265,57631.0
