Year,Funding,Spend,Dividend,Net,Backlog
2026,1499.9999999999998,3.0000000000000004e-05,0.0,1499.9999699999992,1499.9999700000044
2027,1500.0,3.0000000000000004e-05,0.0,2999.999939999999,2999.999940000009
2028,1500.0,3.0000000000000004e-05,0.0,4499.999909999999,4499.999909999984
2029,1500.0,3.0000000000000004e-05,0.0,5999.999879999999,5999.999880000105
2030,1500.0,3.0000000000000004e-05,0.0,7499.999849999999,7499.999850000167
2031,1500.0,3.0000000000000004e-05,0.0,8999.999819999999,8999.999820000055
2032,1500.0,3.0000000000000004e-05,0.0,10499.99979,10499.99979000003
2033,1500.0,3.0000000000000004e-05,0.0,11999.999759999999,11999.999760000006
2034,1500.0,3.0000000000000004e-05,0.0,13499.999729999998,13499.999729999981
2035,1500.0,3.0000000000000004e-05,14999.999699999995,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0
2051,0.0,0.0,0.0,0.0,0.0
2052,0.0,0.0,0.0,0.0,0.0
2053,0.0,0.0,0.0,0.0,0.0
2054,0.0,0.0,0.0,0.0,0.0
2055,0.0,0.0,0.0,0.0,0.0
2056,0.0,0.0,0.0,0.0,0.0
2057,0.0,0.0,0.0,0.0,0.0
2058,0.0,0.0,0.0,0.0,0.0
2059,0.0,0.0,0.0,0.0,0.0
2060,0.0,0.0,0.0,0.0,0.0
2061,0.0,0.0,0.0,0.0,0.0
2062,0.0,0.0,0.0,0.0,0.0
2063,0.0,0.0,0.0,0.0,0.0
2064,0.0,0.0,0.0,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.0
2066,0.0,0.0,0.0,0.0,0.0
2067,0.0,0.0,0.0,0.0,0.0
2068,0.0,0.0,0.0,0.0,0.0
2069,0.0,0.0,0.0,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0
2071,0.0,0.0,0.0,0.0,0.0
2072,0.0,0.0,0.0,0.0,0.0
2073,0.0,0.0,0.0,0.0,0.0
2074,0.0,0.0,0.0,0.0,0.0
2075,0.0,0.0,0.0,0.0,0.0
2076,0.0,0.0,0.0,0.0,0.0
2077,0.0,0.0,0.0,0.0,0.0
2078,0.0,0.0,0.0,0.0,0.0
2079,0.0,0.0,0.0,0.0,0.0
2080,0.0,0.0,0.0,0.0,0.0
2081,0.0,0.0,0.0,0.0,0.0
2082,0.0,0.0,0.0,0.0,0.0
2083,0.0,0.0,0.0,0.0,0.0
2084,0.0,0.0,0.0,0.0,0.0
2085,0.0,0.0,0.0,0.0,0.0
2086,0.0,0.0,0.0,0.0,0.0
2087,0.0,0.0,0.0,0.0,0.0
2088,0.0,0.0,0.0,0.0,0.0
2089,0.0,0.0,0.0,0.0,0.0
2090,0.0,0.0,0.0,0.0,0.0
2091,0.0,0.0,0.0,0.0,0.0
2092,0.0,0.0,0.0,0.0,0.0
2093,0.0,0.0,0.0,0.0,0.0
2094,0.0,0.0,0.0,0.0,0.0
2095,0.0,0.0,0.0,0.0,0.0
