Tick,NPV
1,96962
2,97607.4804
3,98211.13979
4,98779.9643
5,99319.39046
6,99734.40614
7,100126.8916
8,100499.7344
9,100855.3191
10,101195.6357
11,101522.3612
12,101836.9208
13,102140.535
14,102434.2567
15,102719
16,102995.5629
17,103264.6463
18,103526.8686
19,103782.778
20,104032.8626
21,104277.5588
22,104517.2583
23,104752.3134
24,104983.0429
25,105209.7353
26,105432.6529
27,105652.0349
28,105868.0996
29,106081.0473
30,106291.0615
31,106498.3114
32,106702.9526
33,106905.1293
34,107104.9747
35,107302.6123
36,107498.1569
37,107691.7153
38,107883.3871
39,108073.265
40,108261.4361
41,108429.3269
42,108595.7944
43,108760.9037
44,108924.716
45,108979.4532
46,109042.5993
47,109104.4115
48,109164.941
49,109224.2366
50,109282.3439
51,109339.3067
52,109395.166
53,109449.9609
54,109503.7284
55,109556.504
56,109608.321
57,109659.2112
58,109709.2052
59,109758.3319
60,109806.6186
61,109854.0919
62,109900.7769
63,109946.6975
64,109991.8767
65,110036.3367
66,110080.0983
67,110123.1817
68,110165.6063
69,110207.3905
70,110248.5522
71,110289.1085
72,110329.0756
73,110368.4693
74,110407.305
75,110425.7236
76,110443.6024
77,110460.9554
78,110477.7957
79,110504.0792
80,110529.8789
81,110555.2066
82,110594.9987
83,110609.4659
84,110623.4905
85,110640.0698
86,110653.2403
87,110665.9982
88,110681.3408
89,110693.3017
90,110704.8771
91,110716.0754
92,110726.905
93,110737.3737
94,110747.4894
95,110757.359
96,110766.7906
97,110776.6882
98,110786.5605
99,110796.5605
100,110801
,
,
